blockchain,nft_contract_address,project_contract_address,token_id,evt_type,trade_category,trade_type,tx_hash,block_time,block_number,amount_raw,amount_original,amount_usd,currency_contract,currency_symbol,project,number_of_items,tx_from,tx_to
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,19448,Trade,Sell,secondary,0xd05268a571e494a40c086d83fe5a4384374080e339a89737ed502fbcf8f03e5b,2023-11-20 00:02:11.000 UTC,18609294,200000000000000000,0.2,402.67800000000005,0x0000000000a39bb272e79075ade125fd351887ac,bpETH,blur,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,15377,Trade,Sell,secondary,0xd05268a571e494a40c086d83fe5a4384374080e339a89737ed502fbcf8f03e5b,2023-11-20 00:02:11.000 UTC,18609294,170000000000000000,0.17,342.27630000000005,0x0000000000a39bb272e79075ade125fd351887ac,bpETH,blur,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,13734,Trade,Sell,secondary,0xd05268a571e494a40c086d83fe5a4384374080e339a89737ed502fbcf8f03e5b,2023-11-20 00:02:11.000 UTC,18609294,170000000000000000,0.17,342.27630000000005,0x0000000000a39bb272e79075ade125fd351887ac,bpETH,blur,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,10862,Trade,Sell,secondary,0xd05268a571e494a40c086d83fe5a4384374080e339a89737ed502fbcf8f03e5b,2023-11-20 00:02:11.000 UTC,18609294,170000000000000000,0.17,342.27630000000005,0x0000000000a39bb272e79075ade125fd351887ac,bpETH,blur,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,6288,Trade,Sell,secondary,0xd05268a571e494a40c086d83fe5a4384374080e339a89737ed502fbcf8f03e5b,2023-11-20 00:02:11.000 UTC,18609294,170000000000000000,0.17,342.27630000000005,0x0000000000a39bb272e79075ade125fd351887ac,bpETH,blur,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,18719,Trade,Sell,secondary,0xd05268a571e494a40c086d83fe5a4384374080e339a89737ed502fbcf8f03e5b,2023-11-20 00:02:11.000 UTC,18609294,170000000000000000,0.17,342.27630000000005,0x0000000000a39bb272e79075ade125fd351887ac,bpETH,blur,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,14414,Trade,Sell,secondary,0xd05268a571e494a40c086d83fe5a4384374080e339a89737ed502fbcf8f03e5b,2023-11-20 00:02:11.000 UTC,18609294,200000000000000000,0.2,402.67800000000005,0x0000000000a39bb272e79075ade125fd351887ac,bpETH,blur,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,14353,Trade,Sell,secondary,0xd05268a571e494a40c086d83fe5a4384374080e339a89737ed502fbcf8f03e5b,2023-11-20 00:02:11.000 UTC,18609294,170000000000000000,0.17,342.27630000000005,0x0000000000a39bb272e79075ade125fd351887ac,bpETH,blur,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,10039,Trade,Sell,secondary,0xd05268a571e494a40c086d83fe5a4384374080e339a89737ed502fbcf8f03e5b,2023-11-20 00:02:11.000 UTC,18609294,170000000000000000,0.17,342.27630000000005,0x0000000000a39bb272e79075ade125fd351887ac,bpETH,blur,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5
ethereum,0xa604060890923ff400e8c6f5290461a83aedacec,0x00000000000000adc04c56bf30ac9d3c0aaf14dc,35185634599481847926447426607618287661365811190304086905266639811120361111564,Trade,buy,single item trade,0x4c33075668934490ec74b9a25834acbec7939d018e60e35f4fbfe93d75ea9b0d,2023-11-20 00:02:11.000 UTC,18609294,13000000000000000,0.013,26.17407,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH,opensea,1,0x0103c420b7f0d1ab5b919cc3f2a862145e12bfa3,0x00000000000000adc04c56bf30ac9d3c0aaf14dc
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,15763,Trade,Sell,secondary,0xd05268a571e494a40c086d83fe5a4384374080e339a89737ed502fbcf8f03e5b,2023-11-20 00:02:11.000 UTC,18609294,170000000000000000,0.17,342.27630000000005,0x0000000000a39bb272e79075ade125fd351887ac,bpETH,blur,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,19529,Trade,Sell,secondary,0xd05268a571e494a40c086d83fe5a4384374080e339a89737ed502fbcf8f03e5b,2023-11-20 00:02:11.000 UTC,18609294,170000000000000000,0.17,342.27630000000005,0x0000000000a39bb272e79075ade125fd351887ac,bpETH,blur,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,11252,Trade,Sell,secondary,0xd05268a571e494a40c086d83fe5a4384374080e339a89737ed502fbcf8f03e5b,2023-11-20 00:02:11.000 UTC,18609294,170000000000000000,0.17,342.27630000000005,0x0000000000a39bb272e79075ade125fd351887ac,bpETH,blur,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,13439,Trade,Sell,secondary,0xd05268a571e494a40c086d83fe5a4384374080e339a89737ed502fbcf8f03e5b,2023-11-20 00:02:11.000 UTC,18609294,170000000000000000,0.17,342.27630000000005,0x0000000000a39bb272e79075ade125fd351887ac,bpETH,blur,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,13361,Trade,Sell,secondary,0xd05268a571e494a40c086d83fe5a4384374080e339a89737ed502fbcf8f03e5b,2023-11-20 00:02:11.000 UTC,18609294,170000000000000000,0.17,342.27630000000005,0x0000000000a39bb272e79075ade125fd351887ac,bpETH,blur,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,7958,Trade,Sell,secondary,0xd05268a571e494a40c086d83fe5a4384374080e339a89737ed502fbcf8f03e5b,2023-11-20 00:02:11.000 UTC,18609294,170000000000000000,0.17,342.27630000000005,0x0000000000a39bb272e79075ade125fd351887ac,bpETH,blur,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,18115,Trade,Sell,secondary,0xd05268a571e494a40c086d83fe5a4384374080e339a89737ed502fbcf8f03e5b,2023-11-20 00:02:11.000 UTC,18609294,170000000000000000,0.17,342.27630000000005,0x0000000000a39bb272e79075ade125fd351887ac,bpETH,blur,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,19631,Trade,Sell,secondary,0xd05268a571e494a40c086d83fe5a4384374080e339a89737ed502fbcf8f03e5b,2023-11-20 00:02:11.000 UTC,18609294,170000000000000000,0.17,342.27630000000005,0x0000000000a39bb272e79075ade125fd351887ac,bpETH,blur,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,11363,Trade,Sell,secondary,0xd05268a571e494a40c086d83fe5a4384374080e339a89737ed502fbcf8f03e5b,2023-11-20 00:02:11.000 UTC,18609294,170000000000000000,0.17,342.27630000000005,0x0000000000a39bb272e79075ade125fd351887ac,bpETH,blur,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,17169,Trade,Sell,secondary,0xd05268a571e494a40c086d83fe5a4384374080e339a89737ed502fbcf8f03e5b,2023-11-20 00:02:11.000 UTC,18609294,170000000000000000,0.17,342.27630000000005,0x0000000000a39bb272e79075ade125fd351887ac,bpETH,blur,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5
ethereum,0xd774557b647330c91bf44cfeab205095f7e6c367,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5,12959,Trade,Sell,secondary,0xd05268a571e494a40c086d83fe5a4384374080e339a89737ed502fbcf8f03e5b,2023-11-20 00:02:11.000 UTC,18609294,170000000000000000,0.17,342.27630000000005,0x0000000000a39bb272e79075ade125fd351887ac,bpETH,blur,1,0xdc7fd67c78e2a2aefb55e60b0dea20fa08f7a749,0xb2ecfe4e4d61f8790bbb9de2d1259b9e2410cea5
